zip_code,arrest_count,lat,lon,borough,crime_per_10k,murder,rape,robbery,fel_assault,burglary,gr_larceny,gla,total,borough_display
11357,241,40.791677097119944,-73.81266867309894,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11358,218,40.76086376603036,-73.7961718412907,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11360,73,40.78157094057551,-73.78205429301684,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11361,622,40.76583937638232,-73.7671261977924,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11362,45,40.75569040218073,-73.73483297772044,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11363,13,40.77480911973261,-73.74908670842801,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11364,88,40.74953690243988,-73.755871540954,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11365,1207,40.74143456453013,-73.80080117764575,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11366,249,40.72940387743514,-73.78883786889223,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11367,275,40.72996697605035,-73.82833646551396,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11368,1219,40.75607846133951,-73.85023006548984,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11369,2671,40.76509677133005,-73.87517887413745,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11370,196,40.769099012664434,-73.89047607575466,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11370,196,40.791441583513695,-73.88407670841765,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11372,2746,40.750873755682136,-73.88550252312545,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11373,3533,40.734782119057385,-73.87874034073344,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11374,998,40.72691129192627,-73.86159639794491,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11375,1633,40.72204865547558,-73.84520540147405,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
