zip_code,lat,lon,nearest_subway_dist_miles,nearest_subway
11360,40.78157094057551,-73.78205429301684,3.6409454921142457,Flushing-Main St
11105,40.78137138775039,-73.90564308583906,0.6209268624412325,Astoria-Ditmars Blvd
10128,40.779262067078086,-73.9454123380973,0.3689331424730778,96 St
11371,40.774327800936014,-73.87364826426025,1.7607284234118539,Junction Blvd
10023,40.776785669809165,-73.98439586340682,0.2031086610561914,72 St
11363,40.77480911973261,-73.74908670842801,4.913287728051598,Jamaica-179 St
10028,40.77521263839082,-73.94763232098582,0.3410790717877175,86 St
11354,40.76830704288077,-73.83417675244719,0.6654410640324968,Flushing-Main St
11102,40.773471849500346,-73.92863811815482,0.6762253717707317,30 Av
11370,40.769099012664434,-73.89047607575466,1.4492574334739297,65 St
10021,40.76857142206866,-73.95443061547533,0.2759906130514371,72 St
11361,40.76583937638232,-73.7671261977924,3.8467844498961266,Jamaica-179 St
11358,40.76086376603036,-73.7961718412907,2.3378397650498908,Flushing-Main St
11362,40.75569040218073,-73.73483297772044,4.499442859336442,Jamaica-179 St
10044,40.76094971796176,-73.95115066288024,0.19154566541700052,Roosevelt Island
11369,40.76509677133005,-73.87517887413745,1.1557691663859926,90 St-Elmhurst Av
11103,40.76391124584706,-73.91304993059563,0.524711613697366,46 St
11106,40.767274111221354,-73.93676207196361,0.8629179420759788,Broadway
11368,40.75607846133951,-73.85023006548984,0.3332629127762531,Mets-Willets Point
11377,40.74548303891097,-73.90360543694831,0.04406185932659477,61 St-Woodside
10036,40.758783856559084,-73.98974589837476,0.10183687904359412,42 St-Port Authority Bus Terminal
11355,40.75077479826483,-73.82278701565471,0.7877642937935329,Flushing-Main St
11101,40.74340367096328,-73.94459550563693,0.22366553973442102,Court Sq
11364,40.74953690243988,-73.755871540954,3.193356500701967,Jamaica-179 St
10018,40.75583507747319,-73.99442798468357,0.25505923488874305,34 St-Penn Station
10020,40.75889786253664,-73.97860969027697,0.1883308931718008,47-50 Sts-Rockefeller Ctr
11005,40.756084659367446,-73.7163014432423,5.5394872253287435,Jamaica-179 St
10017,40.750843906388965,-73.96954646454908,0.449950209594865,Grand Central-42 St
10001,40.749813815973425,-74.00044540343829,0.31659032910763235,23 St
10011,40.74293318605735,-74.00272980234686,0.15800168466585024,14 St
10016,40.745042154930125,-73.97608884361772,0.41928638257939044,33 St
11104,40.74284327302219,-73.91957308240816,0.08101536898477231,46 St-Bliss St
11109,40.74439490720662,-73.9582654915129,0.3455067325947454,Vernon Blvd-Jackson Av
10010,40.738858506885265,-73.97742472650863,0.5542050454364604,28 St
11367,40.72996697605035,-73.82833646551396,1.0144917614635236,75 Av
10014,40.733017820971654,-74.00768992762666,0.3312670110815166,Christopher St-Stonewall
10003,40.73286037224812,-73.9889377112639,0.1432871588746102,14 St-Union Sq
11222,40.7277029747525,-73.9478952509919,0.3150565647145965,Nassau Av
